BMI_714_Variable_Name,Variable_Name,Variable_Description,Data_File_Name,Data_File_Description,Component
SEQN,SEQN,Respondent sequence number.,multiple,multiple,multiple
P_DEMO_SDDSRVYR,SDDSRVYR,Data release cycle,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDSTATR,RIDSTATR,Interview and examination status of the participant.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIAGENDR,RIAGENDR,Gender of the participant.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDAGEYR,RIDAGEYR,Age in years of the participant at the time of screening. Individuals 80 and over are topcoded at 80 years of age.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDAGEMN,RIDAGEMN,Age in months of the participant at the time of screening. Reported for persons aged 24 months or younger at the time of exam (or screening if not examined).,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDRETH1,RIDRETH1,Recode of reported race and Hispanic origin information,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDRETH3,RIDRETH3,"Recode of reported race and Hispanic origin information, with Non-Hispanic Asian Category",P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDEXMON,RIDEXMON,"Six month time period when the examination was performed - two categories: November 1 through April 30, May 1 through October 31.",P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_DMDBORN4,DMDBORN4,In what country {were you/was SP} born?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_DMDYRUSZ,DMDYRUSZ,Length of time the participant has been in the US.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_DMDEDUC2,DMDEDUC2,What is the highest grade or level of school {you have/SP has} completed or the highest degree {you have/s/he has} received?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_DMDMARTZ,DMDMARTZ,Marital status,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_RIDEXPRG,RIDEXPRG,Pregnancy status for females between 20 and 44 years of age at the time of MEC exam.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_SIALANG,SIALANG,Language of the Sample Person Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_SIAPROXY,SIAPROXY,Was a Proxy respondent used in conducting the Sample Person (SP) interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_SIAINTRP,SIAINTRP,Was an interpreter used to conduct the Sample Person (SP) interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_FIALANG,FIALANG,Language of the Family Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_FIAPROXY,FIAPROXY,Was a Proxy respondent used in conducting the Family Interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_FIAINTRP,FIAINTRP,Was an interpreter used to conduct the Family interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_MIALANG,MIALANG,Language of the MEC CAPI Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_MIAPROXY,MIAPROXY,Was a Proxy respondent used in conducting the MEC CAPI Interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_MIAINTRP,MIAINTRP,Was an interpreter used to conduct the MEC CAPI interview?,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_AIALANGA,AIALANGA,Language of the MEC ACASI Interview Instrument,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_WTINTPRP,WTINTPRP,Full sample interview weight,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_WTMECPRP,WTMECPRP,Full sample MEC exam weight,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_SDMVPSU,SDMVPSU,Masked variance unit pseudo-PSU variable for variance estimation,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_SDMVSTRA,SDMVSTRA,Masked variance unit pseudo-stratum variable for variance estimation,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DEMO_INDFMPIR,INDFMPIR,A ratio of family income to poverty guidelines.,P_DEMO,Demographic Variables and Sample Weights,Demographics
P_DS1TOT_WTDRD1PP,WTDRD1PP,Dietary day one sample weight,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_WTDR2DPP,WTDR2DPP,Dietary two-day sample weight,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1DRSTZ,DR1DRSTZ,Dietary recall status,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1EXMER,DR1EXMER,Interviewer ID code,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DRDINT,DRDINT,Indicates whether the sample person has intake data for one or two days.,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1DBIH,DR1DBIH,# of days b/w intake and HH interview,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1DAY,DR1DAY,Intake day of the week,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1LANG,DR1LANG,The respondent spoke mostly:,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1MRESP,DR1MRESP,Who was the main respondent for this interview?,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DR1HELP,DR1HELP,Who helped in responding for this interview,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1DSCNT,DS1DSCNT,Total # of Dietary Supplements Taken,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1DS,DS1DS,Any Dietary Supplements taken in the past 24 hour?,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1ANCNT,DS1ANCNT,Total # of Antacids Taken,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1AN,DS1AN,Any Antacids Taken?,P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TKCAL,DS1TKCAL,Energy (kcal),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TPROT,DS1TPROT,Protein (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TCARB,DS1TCARB,Carbohydrate (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TSUGR,DS1TSUGR,Total sugars (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TFIBE,DS1TFIBE,Dietary fiber (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TTFAT,DS1TTFAT,Total fat (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TSFAT,DS1TSFAT,Total saturated fatty acids (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TMFAT,DS1TMFAT,Total monounsaturated fatty acids (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
P_DS1TOT_DS1TPFAT,DS1TPFAT,Total polyunsaturated fatty acids (gm),P_DS1TOT,"Dietary Supplement Use 24-Hour - Total Dietary Supplements, First Day",Dietary
